Dataset,LSA,k,Preprocess,Vectorizer,Part Speech,Stopwords,Model,F1 Score
ag_news,False,,none,frequency,none,False,Decision Tree,0.8235519983696344
ag_news,False,,none,frequency,none,False,Random Forest,0.8921225469333223
ag_news,False,,none,frequency,none,False,Gradient Boosting,0.8287521463639415
ag_news,False,,none,frequency,none,False,AdaBoost,0.6773933830674053
ag_news,False,,none,frequency,none,True,Decision Tree,0.6986619189239712
ag_news,False,,none,frequency,none,True,Random Forest,0.7940655543112232
ag_news,False,,none,frequency,none,True,Gradient Boosting,0.6961246058688519
ag_news,False,,none,frequency,none,True,AdaBoost,0.5334281853159726
ag_news,False,,none,frequency,noun,False,Decision Tree,0.8167387285943857
ag_news,False,,none,frequency,noun,False,Random Forest,0.8775175673996154
ag_news,False,,none,frequency,noun,False,Gradient Boosting,0.7927815020069587
ag_news,False,,none,frequency,noun,False,AdaBoost,0.6278894318884781
ag_news,False,,none,frequency,noun,True,Decision Tree,0.4766049465379922
ag_news,False,,none,frequency,noun,True,Random Forest,0.5036445449668654
ag_news,False,,none,frequency,noun,True,Gradient Boosting,0.40750278250433536
ag_news,False,,none,frequency,noun,True,AdaBoost,0.27238400260298146
ag_news,False,,none,tfidf,none,False,Decision Tree,0.8100498296992491
ag_news,False,,none,tfidf,none,False,Random Forest,0.8941473993272555
ag_news,False,,none,tfidf,none,False,Gradient Boosting,0.8285478582644877
ag_news,False,,none,tfidf,none,False,AdaBoost,0.6767890865013362
ag_news,False,,none,tfidf,none,True,Decision Tree,0.6926198194124777
ag_news,False,,none,tfidf,none,True,Random Forest,0.796204264547661
ag_news,False,,none,tfidf,none,True,Gradient Boosting,0.6969431300809142
ag_news,False,,none,tfidf,none,True,AdaBoost,0.5332806882817009
ag_news,False,,none,tfidf,noun,False,Decision Tree,0.8043617555640087
ag_news,False,,none,tfidf,noun,False,Random Forest,0.8762747861652892
ag_news,False,,none,tfidf,noun,False,Gradient Boosting,0.7926310057069719
ag_news,False,,none,tfidf,noun,False,AdaBoost,0.627750539843338
ag_news,False,,none,tfidf,noun,True,Decision Tree,0.4768267576418478
ag_news,False,,none,tfidf,noun,True,Random Forest,0.513572676651513
ag_news,False,,none,tfidf,noun,True,Gradient Boosting,0.4080558440371831
ag_news,False,,none,tfidf,noun,True,AdaBoost,0.27603450273346414
ag_news,False,,lemma,frequency,none,False,Decision Tree,0.8256672362670467
ag_news,False,,lemma,frequency,none,False,Random Forest,0.8950683739735739
ag_news,False,,lemma,frequency,none,False,Gradient Boosting,0.8316801348023442
ag_news,False,,lemma,frequency,none,False,AdaBoost,0.6896035721289125
ag_news,False,,lemma,frequency,none,True,Decision Tree,0.7006831540601479
ag_news,False,,lemma,frequency,none,True,Random Forest,0.793788072637997
ag_news,False,,lemma,frequency,none,True,Gradient Boosting,0.7008958062950104
ag_news,False,,lemma,frequency,none,True,AdaBoost,0.5478871529775564
ag_news,False,,lemma,frequency,noun,False,Decision Tree,0.8127275691020378
ag_news,False,,lemma,frequency,noun,False,Random Forest,0.8821538531461234
ag_news,False,,lemma,frequency,noun,False,Gradient Boosting,0.8023480564356745
ag_news,False,,lemma,frequency,noun,False,AdaBoost,0.6425120498214636
ag_news,False,,lemma,frequency,noun,True,Decision Tree,0.46762295013087857
ag_news,False,,lemma,frequency,noun,True,Random Forest,0.4933110080425375
ag_news,False,,lemma,frequency,noun,True,Gradient Boosting,0.41355061547327127
ag_news,False,,lemma,frequency,noun,True,AdaBoost,0.28868224155599687
ag_news,False,,lemma,tfidf,none,False,Decision Tree,0.8186946711386991
ag_news,False,,lemma,tfidf,none,False,Random Forest,0.8961446705838337
ag_news,False,,lemma,tfidf,none,False,Gradient Boosting,0.832281815741083
ag_news,False,,lemma,tfidf,none,False,AdaBoost,0.69224875721407
ag_news,False,,lemma,tfidf,none,True,Decision Tree,0.6966735004130219
ag_news,False,,lemma,tfidf,none,True,Random Forest,0.797852541564433
ag_news,False,,lemma,tfidf,none,True,Gradient Boosting,0.701423246002092
ag_news,False,,lemma,tfidf,none,True,AdaBoost,0.5483670254038826
ag_news,False,,lemma,tfidf,noun,False,Decision Tree,0.8032140710994032
ag_news,False,,lemma,tfidf,noun,False,Random Forest,0.8807563490197293
ag_news,False,,lemma,tfidf,noun,False,Gradient Boosting,0.8016894102723512
ag_news,False,,lemma,tfidf,noun,False,AdaBoost,0.6492524227216318
ag_news,False,,lemma,tfidf,noun,True,Decision Tree,0.46884366516992393
ag_news,False,,lemma,tfidf,noun,True,Random Forest,0.5023551528350576
ag_news,False,,lemma,tfidf,noun,True,Gradient Boosting,0.415972332652462
ag_news,False,,lemma,tfidf,noun,True,AdaBoost,0.2910980068358892
ag_news,False,,stem,frequency,none,False,Decision Tree,0.8232000073796446
ag_news,False,,stem,frequency,none,False,Random Forest,0.8945559681853611
ag_news,False,,stem,frequency,none,False,Gradient Boosting,0.8327980228788779
ag_news,False,,stem,frequency,none,False,AdaBoost,0.7016872573496669
ag_news,False,,stem,frequency,none,True,Decision Tree,0.6874410475230786
ag_news,False,,stem,frequency,none,True,Random Forest,0.791257200611091
ag_news,False,,stem,frequency,none,True,Gradient Boosting,0.7027996147274918
ag_news,False,,stem,frequency,none,True,AdaBoost,0.5510278452717148
ag_news,False,,stem,frequency,noun,False,Decision Tree,0.8115058384358014
ag_news,False,,stem,frequency,noun,False,Random Forest,0.8809499773167792
ag_news,False,,stem,frequency,noun,False,Gradient Boosting,0.8005782580664333
ag_news,False,,stem,frequency,noun,False,AdaBoost,0.656613960009538
ag_news,False,,stem,frequency,noun,True,Decision Tree,0.46653509978636776
ag_news,False,,stem,frequency,noun,True,Random Forest,0.4926815285567734
ag_news,False,,stem,frequency,noun,True,Gradient Boosting,0.41301334262764466
ag_news,False,,stem,frequency,noun,True,AdaBoost,0.2876237019846565
ag_news,False,,stem,tfidf,none,False,Decision Tree,0.813832121831185
ag_news,False,,stem,tfidf,none,False,Random Forest,0.8967302417567963
ag_news,False,,stem,tfidf,none,False,Gradient Boosting,0.8341307180909949
ag_news,False,,stem,tfidf,none,False,AdaBoost,0.7015948665335598
ag_news,False,,stem,tfidf,none,True,Decision Tree,0.6884553813880765
ag_news,False,,stem,tfidf,none,True,Random Forest,0.7952586178613332
ag_news,False,,stem,tfidf,none,True,Gradient Boosting,0.7032939849164639
ag_news,False,,stem,tfidf,none,True,AdaBoost,0.5510328174519598
ag_news,False,,stem,tfidf,noun,False,Decision Tree,0.8004349880414721
ag_news,False,,stem,tfidf,noun,False,Random Forest,0.8828210970936664
ag_news,False,,stem,tfidf,noun,False,Gradient Boosting,0.8015065780270559
ag_news,False,,stem,tfidf,noun,False,AdaBoost,0.6553380397518036
ag_news,False,,stem,tfidf,noun,True,Decision Tree,0.4663952907893345
ag_news,False,,stem,tfidf,noun,True,Random Forest,0.49946951479253654
ag_news,False,,stem,tfidf,noun,True,Gradient Boosting,0.4153114857476121
ag_news,False,,stem,tfidf,noun,True,AdaBoost,0.2911048273778125
ag_news,True,3.0,none,frequency,none,False,Decision Tree,0.5977567189389371
ag_news,True,3.0,none,frequency,none,False,Random Forest,0.6860029026309721
ag_news,True,3.0,none,frequency,none,False,Gradient Boosting,0.6620702760302922
ag_news,True,3.0,none,frequency,none,False,AdaBoost,0.593530662023127
ag_news,True,3.0,none,frequency,none,True,Decision Tree,0.46165868434043034
ag_news,True,3.0,none,frequency,none,True,Random Forest,0.49909197707074204
ag_news,True,3.0,none,frequency,none,True,Gradient Boosting,0.5187930053755633
ag_news,True,3.0,none,frequency,none,True,AdaBoost,0.4809931539479017
ag_news,True,3.0,none,frequency,noun,False,Decision Tree,0.45374896442842033
ag_news,True,3.0,none,frequency,noun,False,Random Forest,0.5215821388362845
ag_news,True,3.0,none,frequency,noun,False,Gradient Boosting,0.5137205765122774
ag_news,True,3.0,none,frequency,noun,False,AdaBoost,0.4430683128009657
ag_news,True,3.0,none,frequency,noun,True,Decision Tree,0.37190524061658564
ag_news,True,3.0,none,frequency,noun,True,Random Forest,0.3976954433301762
ag_news,True,3.0,none,frequency,noun,True,Gradient Boosting,0.3665189147123815
ag_news,True,3.0,none,frequency,noun,True,AdaBoost,0.3189699952648865
ag_news,True,3.0,none,tfidf,none,False,Decision Tree,0.6016011672400297
ag_news,True,3.0,none,tfidf,none,False,Random Forest,0.6879336270796176
ag_news,True,3.0,none,tfidf,none,False,Gradient Boosting,0.6969461311761587
ag_news,True,3.0,none,tfidf,none,False,AdaBoost,0.6595245288590488
ag_news,True,3.0,none,tfidf,none,True,Decision Tree,0.5135684737792292
ag_news,True,3.0,none,tfidf,none,True,Random Forest,0.6042697140382222
ag_news,True,3.0,none,tfidf,none,True,Gradient Boosting,0.6295198015010203
ag_news,True,3.0,none,tfidf,none,True,AdaBoost,0.5958627961102412
ag_news,True,3.0,none,tfidf,noun,False,Decision Tree,0.5240550502131678
ag_news,True,3.0,none,tfidf,noun,False,Random Forest,0.6073444521713731
ag_news,True,3.0,none,tfidf,noun,False,Gradient Boosting,0.6294544271051867
ag_news,True,3.0,none,tfidf,noun,False,AdaBoost,0.5838376885116363
ag_news,True,3.0,none,tfidf,noun,True,Decision Tree,0.3428653985837532
ag_news,True,3.0,none,tfidf,noun,True,Random Forest,0.36513692767976524
ag_news,True,3.0,none,tfidf,noun,True,Gradient Boosting,0.3252066867889418
ag_news,True,3.0,none,tfidf,noun,True,AdaBoost,0.27650125415115845
ag_news,True,3.0,lemma,frequency,none,False,Decision Tree,0.622147068653905
ag_news,True,3.0,lemma,frequency,none,False,Random Forest,0.7055496150829268
ag_news,True,3.0,lemma,frequency,none,False,Gradient Boosting,0.6895946785842971
ag_news,True,3.0,lemma,frequency,none,False,AdaBoost,0.6057653021873894
ag_news,True,3.0,lemma,frequency,none,True,Decision Tree,0.4786508614425018
ag_news,True,3.0,lemma,frequency,none,True,Random Forest,0.5582438469278455
ag_news,True,3.0,lemma,frequency,none,True,Gradient Boosting,0.5438011931368009
